ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
6324	DogulDomBendiely	(any) men's palaver shed	pay+weyo+go	p ay + w eyo + g o	119	p ay + w eyo + g o
6325	DogulDomKundialang	(any) men's palaver shed	anuwe+ja+ŋga	a n u w e + j a + ŋ g a	120	a n u w e + j a + ŋ g a
6326	Mombo	(any) men's palaver shed	jawⁿa+bay+ⁿ	j a wⁿ a + b ay +ⁿ	121	j a wⁿ a + b ay +ⁿ
6327	Nanga	(any) men's palaver shed	arⁿaɔɔ	a rⁿ aɔɔ	122	a rⁿ aɔɔ
6328	Tiranige	(any) men's palaver shed	yaŋa	ya ŋ a	123	ya ŋ a
6329	TommoSoTongoTongo	(any) men's palaver shed	anam+do+m	a n a m + d o + m	124	a n a m + d o + m
6330	TommoSoTongoTongo	(any) men's palaver shed	anam+ja+ŋga	a n a m + j a + ŋ g a	120	a n a m - + j a + ŋ g a
6331	YornoSo	(any) men's palaver shed	togu+naa	t o g u + n aa	125	t o g u + n aa
10388	BankanTey	(blood from a serious wound) flow, gush out, pour out	yɔw+ɔ	yɔ w + ɔ	126	yɔ w + ɔ
10389	BenTey	(blood from a serious wound) flow, gush out, pour out	toot+i	t oo t + i	127	t oo t + i
10390	JamsayDouentza	(blood from a serious wound) flow, gush out, pour out	yuw+ɔ	yu w + ɔ	126	yu w + ɔ
10391	Mombo	(blood from a serious wound) flow, gush out, pour out	gwe+e	g w e + e	130	g w e + e
10392	BonduSoNajamba	(blood from a serious wound) flow, gush out, pour out	siy+ɛ	s iy + ɛ	128	s iy + ɛ
10393	Nanga	(blood from a serious wound) flow, gush out, pour out	tiy+ɛ	t iy + ɛ	131	t iy + ɛ
10394	TommoSoTongoTongo	(blood from a serious wound) flow, gush out, pour out	go+o	g o + o	132	g o + o
10395	ToroTegu	(blood from a serious wound) flow, gush out, pour out	zɔ+ɔ	z ɔ + ɔ	133	z ɔ + ɔ
10396	YornoSo	(blood from a serious wound) flow, gush out, pour out	togɛ+ɛ	t o g ɛ + ɛ	134	t o g ɛ + ɛ
874	DogulDomKundialang	(child) be born	nal+ye	n a l + ye	135	n a l + ye - -
875	BonduSoNajamba	(child) be born	nal+i+yɛ	n a l + i + yɛ	135	n a l + i + yɛ
876	TommoSoTongoTongo	(child) be born	nal+i+yɛ	n a l + i + yɛ	135	n a l + i + yɛ
877	YornoSo	(child) be born	narⁿɛ+ɛ	n a rⁿ ɛ + ɛ	138	n a rⁿ ɛ + ɛ
9950	BankanTey	(colonial) army	lar+mɛ	l a r + m ɛ	139	l a r + m ɛ
9951	BenTey	(colonial) army	sedaa+su	s e d aa + s u	140	s e d aa + s u
9952	DogulDomBendiely	(colonial) army	soraa+s	s o r aa + s	140	s o r aa + s -
9953	JamsayDouentza	(colonial) army	lar+mɛ	l a r + m ɛ	139	l a r + m ɛ
9954	Mombo	(colonial) army	ar+mee	a r + m ee	139	- a r + m ee
9955	PergeTegu	(colonial) army	sodaa+su	s o d aa + s u	140	s o d aa + s u
9956	TogoKan	(colonial) army	sɔdaa+ju	s ɔ d aa + j u	140	s ɔ d aa + j u
9957	TommoSoTongoTongo	(colonial) army	ansaa+rakɔ+mbɔa+na+m	a n s aa + r a k ɔ + m b ɔa + n a + m	146	a n s aa + r a k ɔ + m b ɔa + n a + m
9958	ToroTegu	(colonial) army	saru+rusu	s a r u + r u s u	147	s a r u + r u s u
